title,primary_language,year,genres_str,movieId,genres_list
Kalki 2898 AD,Telugu,2024,"Action, Sci-Fi, Fantasy",9000000,"['Action', 'Sci-Fi', 'Fantasy']"
Salaar: Part 1 - Ceasefire,Telugu,2023,"Action, Crime, Thriller",9000001,"['Action', 'Crime', 'Thriller']"
RRR,Telugu,2022,"Action, Drama, History",9000002,"['Action', 'Drama', 'History']"
Pushpa: The Rise,Telugu,2021,"Action, Crime, Drama",9000003,"['Action', 'Crime', 'Drama']"
Pushpa 2: The Rule,Telugu,2024,"Action, Crime, Thriller",9000004,"['Action', 'Crime', 'Thriller']"
Guntur Kaaram,Telugu,2024,"Action, Drama, Comedy",9000005,"['Action', 'Drama', 'Comedy']"
Hi Nanna,Telugu,2023,"Romance, Drama, Family",9000006,"['Romance', 'Drama', 'Family']"
Dasara,Telugu,2023,"Action, Drama",9000007,"['Action', 'Drama']"
Bhagavanth Kesari,Telugu,2023,"Action, Comedy, Drama",9000008,"['Action', 'Comedy', 'Drama']"
Sita Ramam,Telugu,2022,"Romance, Drama, Action",9000009,"['Romance', 'Drama', 'Action']"
Bimbisara,Telugu,2022,"Action, Fantasy",9000010,"['Action', 'Fantasy']"
Karthikeya 2,Telugu,2022,"Adventure, Mystery, Thriller",9000011,"['Adventure', 'Mystery', 'Thriller']"
DJ Tillu,Telugu,2022,"Comedy, Crime, Romance",9000012,"['Comedy', 'Crime', 'Romance']"
Tillu Square,Telugu,2024,"Comedy, Crime, Romance",9000013,"['Comedy', 'Crime', 'Romance']"
Hanuman,Telugu,2024,"Action, Fantasy, Superhero",9000014,"['Action', 'Fantasy', 'Superhero']"
V,Telugu,2020,"Action, Thriller, Mystery",9000015,"['Action', 'Thriller', 'Mystery']"
Ala Vaikunthapurramuloo,Telugu,2020,"Action, Drama, Comedy",9000016,"['Action', 'Drama', 'Comedy']"
Sarileru Neekevvaru,Telugu,2020,"Action, Comedy",9000017,"['Action', 'Comedy']"
Bheeshma,Telugu,2020,"Romance, Comedy, Action",9000018,"['Romance', 'Comedy', 'Action']"
Love Story,Telugu,2021,"Romance, Drama",9000019,"['Romance', 'Drama']"
Akhanda,Telugu,2021,"Action, Drama",9000020,"['Action', 'Drama']"
Jathi Ratnalu,Telugu,2021,Comedy,9000021,['Comedy']
Major,Telugu,2022,"Action, Biography, Drama",9000022,"['Action', 'Biography', 'Drama']"
Waltair Veerayya,Telugu,2023,"Action, Comedy, Drama",9000023,"['Action', 'Comedy', 'Drama']"
Veera Simha Reddy,Telugu,2023,"Action, Drama",9000024,"['Action', 'Drama']"
Baby,Telugu,2023,"Romance, Drama",9000025,"['Romance', 'Drama']"
Devara: Part 1,Telugu,2024,"Action, Drama, Thriller",9000026,"['Action', 'Drama', 'Thriller']"
Game Changer,Telugu,2024,"Action, Political, Drama",9000027,"['Action', 'Political', 'Drama']"
Jawan,Hindi,2023,"Action, Thriller",9000028,"['Action', 'Thriller']"
Pathaan,Hindi,2023,"Action, Thriller, Spy",9000029,"['Action', 'Thriller', 'Spy']"
Animal,Hindi,2023,"Action, Crime, Drama",9000030,"['Action', 'Crime', 'Drama']"
Fighter,Hindi,2024,"Action, Thriller",9000031,"['Action', 'Thriller']"
Brahmastra Part One: Shiva,Hindi,2022,"Action, Fantasy, Adventure",9000032,"['Action', 'Fantasy', 'Adventure']"
Drishyam 2,Hindi,2022,"Crime, Thriller, Drama",9000033,"['Crime', 'Thriller', 'Drama']"
Bhool Bhulaiyaa 2,Hindi,2022,"Comedy, Horror",9000034,"['Comedy', 'Horror']"
The Kashmir Files,Hindi,2022,"Drama, History",9000035,"['Drama', 'History']"
Sooryavanshi,Hindi,2021,"Action, Crime, Thriller",9000036,"['Action', 'Crime', 'Thriller']"
Shershaah,Hindi,2021,"Action, Biography, War",9000037,"['Action', 'Biography', 'War']"
83,Hindi,2021,"Biography, Drama, Sport",9000038,"['Biography', 'Drama', 'Sport']"
Tanhaji: The Unsung Warrior,Hindi,2020,"Action, Biography, History",9000039,"['Action', 'Biography', 'History']"
Thappad,Hindi,2020,Drama,9000040,['Drama']
Ludo,Hindi,2020,"Action, Comedy, Crime",9000041,"['Action', 'Comedy', 'Crime']"
Gadar 2,Hindi,2023,"Action, Drama",9000042,"['Action', 'Drama']"
Rocky Aur Rani Kii Prem Kahaani,Hindi,2023,"Comedy, Romance, Family",9000043,"['Comedy', 'Romance', 'Family']"
Dunki,Hindi,2023,"Comedy, Drama",9000044,"['Comedy', 'Drama']"
Tiger 3,Hindi,2023,"Action, Thriller, Spy",9000045,"['Action', 'Thriller', 'Spy']"
Bade Miyan Chote Miyan,Hindi,2024,"Action, Thriller",9000046,"['Action', 'Thriller']"
Crew,Hindi,2024,Comedy,9000047,['Comedy']
Shaitaan,Hindi,2024,"Horror, Thriller",9000048,"['Horror', 'Thriller']"
Oppenheimer,English,2023,"Biography, Drama, History",9000049,"['Biography', 'Drama', 'History']"
Barbie,English,2023,"Comedy, Fantasy",9000050,"['Comedy', 'Fantasy']"
Spider-Man: No Way Home,English,2021,"Action, Adventure, Fantasy",9000051,"['Action', 'Adventure', 'Fantasy']"
